Threshold,Model,Delta,AUC_median,AUC_IQR,Brier_median,Brier_IQR,Slope_median,Slope_IQR
-10,glmnet,0,0.6644736842105263,0.13170069771092785,0.1419872899240217,0.042691612584063454,1.0934318121075666,1.022538078872263
-10,rf,0,0.6426282051282052,0.12699064552005734,0.1486934331747263,0.046298526362300085,0.5939336902848693,0.6053331094503946
-10,xgb,0,0.6410526315789474,0.13503247276832187,0.14355485087241718,0.050886615559247256,0.6278172836890605,0.5246382719760058
-7,glmnet,0,0.6507692307692308,0.1306590814969748,0.15888318570123366,0.03864449515032481,0.8561742758364445,0.7584776940952557
-7,rf,0,0.6037037037037037,0.1552627672751512,0.16304562139233755,0.04187565337145005,0.5799777249413636,0.6072515824777509
-7,xgb,0,0.6274509803921569,0.1707975002866644,0.16370017725468938,0.0491514480731029,0.49581402458639956,0.6571519467694368
-5,glmnet,0,0.6527777777777778,0.13944674373245802,0.17512947345429633,0.03738960340979863,0.9312882854283917,0.6959781709869942
-5,rf,0,0.6486111111111111,0.15576971266113948,0.18204298480883008,0.038901091930613335,0.7106133881743721,0.817830553962871
-5,xgb,0,0.628968253968254,0.17203697000571994,0.18511101130780264,0.04128879349541231,0.5072661415871265,0.7449161284714026
0,glmnet,0,0.6697154471544715,0.08227893071643066,0.2206067868770472,0.023477717933172215,0.881639134038692,0.5191968883612486
0,rf,0,0.6447916666666667,0.09719579792169819,0.22690260046004343,0.027329220687829392,0.7277846629728687,0.5015025150368704
0,xgb,0,0.6518218623481782,0.08937921419254957,0.2281055147400348,0.028523114882239436,0.619269022371117,0.3799376151903395
-10,glmnet,5,0.6392857142857142,0.11945522192232716,0.16836065022240965,0.04050773747445796,0.9007276125228509,1.2528642178136518
-10,rf,5,0.6138888888888889,0.12731452958855694,0.17229290777993053,0.04483004089073078,0.5952440689293296,0.5781877922480066
-10,xgb,5,0.6225490196078431,0.1468672451128592,0.16781050301159628,0.047646262570779085,0.534818340251476,0.4845287629746414
-7,glmnet,5,0.6157697121401752,0.12124331812320055,0.19457587874669058,0.04077595276543683,0.7454438927985578,0.9699019298147673
-7,rf,5,0.6223776223776224,0.12736388321659387,0.2018587276365085,0.040624767276564444,0.5332384781592057,0.6987500778255139
-7,xgb,5,0.6269005847953216,0.1226988420384647,0.20560879314101366,0.04613933885940777,0.46937535003826714,0.4911345429128601
-5,glmnet,5,0.6428571428571429,0.1190707082387239,0.21373345874261737,0.030939250049183104,0.7744593672381661,0.6152181095866909
-5,rf,5,0.6216216216216216,0.1251917998583394,0.21579523476135415,0.03461436905302487,0.6703394085445705,0.6550641608590675
-5,xgb,5,0.6151162790697674,0.11596921594084009,0.21709280207844966,0.03896515882102333,0.47607088342062154,0.5246621782554932
0,glmnet,5,0.6588235294117647,0.0980815233165635,0.2263549367121257,0.022127774511384174,0.8420303307293536,0.6690628397209388
0,rf,5,0.6212624584717608,0.0984036612896908,0.23791009946683445,0.021931892073330184,0.645011606479804,0.5286317409915413
0,xgb,5,0.6488095238095238,0.09433395410107137,0.23161786057305067,0.026950821333157127,0.6126564864613102,0.4015306715669842
-10,glmnet,7,0.6259259259259259,0.11566687059018732,0.18361460290508816,0.03529949443490116,0.9534881071389012,1.1276539713074236
-10,rf,7,0.6190476190476191,0.1636444160997732,0.19052374052675666,0.036077764401270473,0.5620457440164529,0.8175963232524501
-10,xgb,7,0.6137820512820513,0.14309688141978505,0.19164520933870216,0.03629687590510783,0.4267449059046795,0.5603263251798147
-7,glmnet,7,0.6323366555924695,0.1196598716619135,0.2082465818556551,0.02956736254761433,0.8210501162539541,0.8712412076063332
-7,rf,7,0.6167800453514739,0.11714130748024854,0.21494620432047876,0.0327469414075261,0.6188060828549222,0.5301568053006488
-7,xgb,7,0.6093567251461989,0.1045867497571672,0.2213330265287096,0.03593549670221105,0.4662770352615007,0.4289621610648674
-5,glmnet,7,0.6345766129032258,0.08435319118563134,0.2192740224969019,0.02664698073029112,0.7480849313092339,0.521301424523211
-5,rf,7,0.6139112903225806,0.09899608476128252,0.2229888284092783,0.033121712182391544,0.6121999446939623,0.5370158379956348
-5,xgb,7,0.62109375,0.07077648961812255,0.22273810307408165,0.03708528765741104,0.5320209899531245,0.3746051058423826
0,glmnet,7,0.6585858585858586,0.09812162655965717,0.22923250840423512,0.027510517741972496,0.8550645415982727,0.7942191236858956
0,rf,7,0.6158357771260997,0.1282702036780622,0.2374646625658245,0.033675739369866925,0.6435228785838356,0.6550145998333812
0,xgb,7,0.6388888888888888,0.1250819717841607,0.23976498942796545,0.036840331573853524,0.5624183046366075,0.4641713448397159
-10,glmnet,10,0.6304347826086957,0.11782560573088208,0.203693478939886,0.037615052078952244,0.9843591238515694,1.1445125119195023
-10,rf,10,0.5818181818181818,0.11754115143545563,0.21465348091891462,0.03561748996840722,0.45059695636982305,0.6482234393849464
-10,xgb,10,0.6245847176079734,0.11315951691277037,0.2112764015837882,0.03648241410177161,0.49716433011167155,0.5286215527973632
-7,glmnet,10,0.6030769230769231,0.11508198958595783,0.22398099487393802,0.0342626416548818,0.8078542516631476,1.130151773713929
-7,rf,10,0.5669856459330144,0.08372212617251062,0.22957035332864756,0.037061253911403746,0.41874723651377777,0.5273920611758779
-7,xgb,10,0.5897727272727272,0.08351403115910161,0.2307199947266861,0.03470993888482188,0.3797663882312341,0.4718538038083139
-5,glmnet,10,0.6317948717948718,0.11220204179851812,0.23034221817886283,0.029992122870404092,0.7776066828338062,0.786381879454011
-5,rf,10,0.5895895895895896,0.09028736685458383,0.2387813187693583,0.028591089744565534,0.5357752209274758,0.5581035254162443
-5,xgb,10,0.5980392156862745,0.09395983230967464,0.23969952945605136,0.03492931538166816,0.44188838919897716,0.45994731338700034
0,glmnet,10,0.638974358974359,0.09681031298678366,0.2283945410162975,0.02322752819311602,0.8009060280051621,0.6555867678970526
0,rf,10,0.6046511627906976,0.08353240756491531,0.2345007281000689,0.022501858725142876,0.5981677797465232,0.49024151769472496
0,xgb,10,0.6148582600195504,0.08649673404466096,0.23392672794858915,0.02914004745494092,0.52710827993829,0.4174522911738531
