Fold,Model,AUC,Brier,Slope,Imputation,Delta,Threshold
1,glmnet,0.57666015625,0.2462478478989266,0.9329315308234833,1,0,0
1,rf,0.578125,0.28348179405422763,-0.5688540053295398,1,0,0
1,xgb,0.5517578125,0.2978551194455805,-0.26289907488752595,1,0,0
2,glmnet,0.5,0.25000384467512493,NA,1,0,0
2,rf,0.58203125,0.2858354407593103,-0.6224513033128208,1,0,0
2,xgb,0.51171875,0.27657981503783335,-0.056554421840803296,1,0,0
3,glmnet,0.51171875,0.25047042966677313,0.3394098960074725,1,0,0
3,rf,0.5087890625,0.26492471013481494,0.0072985725750394585,1,0,0
3,xgb,0.4794921875,0.26655479398991383,0.16149866981229014,1,0,0
4,glmnet,0.5068359375,0.2663244987938131,0.13260302970986898,1,0,0
4,rf,0.517578125,0.2588353446640096,0.18825220151475616,1,0,0
4,xgb,0.5341796875,0.25836368735543097,0.24175625651636684,1,0,0
5,glmnet,0.6033266129032258,0.2476179835278578,8.572201831647043,1,0,0
5,rf,0.6381048387096774,0.23396082233457796,0.8306605967486413,1,0,0
5,xgb,0.6098790322580645,0.2448745583307885,0.5619400626563661,1,0,0
1,glmnet,0.5943181818181819,0.21140029465863758,1.1008218770252847,1,0,-5
1,rf,0.6602272727272728,0.20266493548084677,1.0080432410850795,1,0,-5
1,xgb,0.6,0.21021207230046174,0.5848735354110315,1,0,-5
2,glmnet,0.5,0.21487024221453285,NA,1,0,-5
2,rf,0.6147727272727272,0.21068365884078596,0.8664628359073094,1,0,-5
2,xgb,0.6284090909090909,0.2098681158101241,0.6208062922500901,1,0,-5
3,glmnet,0.5651162790697675,0.23942932529868566,-0.3069518590025347,1,0,-5
3,rf,0.5302325581395348,0.22379416382048786,0.21824113605974713,1,0,-5
3,xgb,0.522093023255814,0.2406223849464681,-0.11378848101711503,1,0,-5
4,glmnet,0.5791805094130675,0.21449013521042984,1.4919937673747912,1,0,-5
4,rf,0.530454042081949,0.23164687403422726,0.08179145129508732,1,0,-5
4,xgb,0.5370985603543743,0.22937199694802607,0.22411225557872877,1,0,-5
5,glmnet,0.48409090909090907,0.21976544756953287,-0.19747448121639802,1,0,-5
5,rf,0.5136363636363637,0.23243892941296349,-0.3309438877173134,1,0,-5
5,xgb,0.48977272727272725,0.23662684619182944,-0.14916503332203168,1,0,-5
1,glmnet,0.5,0.20222846981930026,NA,1,0,-7
1,rf,0.47101449275362317,0.2113154612896674,0.14397892621800923,1,0,-7
1,xgb,0.47826086956521735,0.20624290119466865,0.2970041988643833,1,0,-7
2,glmnet,0.5134502923976608,0.21158188199500197,0.20070506379413097,1,0,-7
2,rf,0.5871345029239766,0.24060950202044618,-0.6078375927801496,1,0,-7
