Fold,Model,AUC,Brier,Slope,Imputation,Delta,Threshold
1,glmnet,0.5076923076923077,0.24773068924864966,-0.014629663175072881,1,10,0
1,rf,0.5528205128205128,0.2518685329073132,0.0832608086926645,1,10,0
1,xgb,0.5179487179487179,0.25837876519145,0.11660800635203285,1,10,0
2,glmnet,0.46102564102564103,0.236117873169102,0.6125304383681909,1,10,0
2,rf,0.6051282051282051,0.23420222939417432,0.6485145423497265,1,10,0
2,xgb,0.6451282051282051,0.22718191377771602,0.759918663045521,1,10,0
3,glmnet,0.6042510121457491,0.2339919570529352,1.111957884190018,1,10,0
3,rf,0.4807692307692308,0.2578312624650339,0.1489108735737827,1,10,0
3,xgb,0.5404858299595141,0.28224885821909723,-0.1511975775418513,1,10,0
4,glmnet,0.6494736842105263,0.22363088624450267,0.9827866763277268,1,10,0
4,rf,0.6105263157894737,0.2313330687832119,0.7838219744774454,1,10,0
4,xgb,0.4747368421052632,0.2568184810398117,0.1963630809714828,1,10,0
5,glmnet,0.638974358974359,0.22206347622952036,1.2123733931173903,1,10,0
5,rf,0.5846153846153846,0.23339073183593312,0.7113304010763144,1,10,0
5,xgb,0.5784615384615385,0.23392672794858915,0.603254338073046,1,10,0
1,glmnet,0.5354679802955665,0.2543280843138071,-0.2934389466321439,1,10,-5
1,rf,0.5448275862068965,0.25229997634493156,0.36241178614376224,1,10,-5
1,xgb,0.5339901477832513,0.25723621122897233,0.2587624799752825,1,10,-5
2,glmnet,0.5085714285714286,0.25443923408383345,-0.08164128198170405,1,10,-5
2,rf,0.5485714285714286,0.27239416336807915,-0.3318784686217449,1,10,-5
2,xgb,0.5466666666666666,0.2849681500658062,-0.34940493769439623,1,10,-5
3,glmnet,0.5821501014198783,0.27963228638064364,-0.6139970027193713,1,10,-5
3,rf,0.565922920892495,0.2761443453433782,-0.2292124155176515,1,10,-5
3,xgb,0.5446247464503042,0.2790129644344452,-0.33803433497632634,1,10,-5
4,glmnet,0.5578093306288032,0.2590923268539733,-1.1479884478829192,1,10,-5
4,rf,0.4695740365111562,0.2543609351812634,0.25440482621483085,1,10,-5
4,xgb,0.5141987829614605,0.2650589613622043,0.04532234822072448,1,10,-5
5,glmnet,0.5,0.24783520761245673,NA,1,10,-5
5,rf,0.48669950738916257,0.2581162328904736,0.047473354150705874,1,10,-5
5,xgb,0.5655172413793104,0.2511762731076307,0.3331255277368713,1,10,-5
1,glmnet,0.5405405405405406,0.24310691142338967,1.505859875170193,1,10,-7
1,rf,0.5405405405405406,0.25127816664264047,0.29034140537284586,1,10,-7
1,xgb,0.5245245245245245,0.2614174041913472,0.17783743572461208,1,10,-7
2,glmnet,0.5,0.24392757593233372,NA,1,10,-7
2,rf,0.5495495495495496,0.2505672216383716,0.2856928869924062,1,10,-7
2,xgb,0.5795795795795796,0.25300745917190226,0.2246390722096022,1,10,-7
3,glmnet,0.5,0.24490574428013392,NA,1,10,-7
3,rf,0.4845679012345679,0.2558646851969796,0.20086750661987277,1,10,-7
3,xgb,0.5267489711934156,0.25727362675602966,0.21052276088219635,1,10,-7
4,glmnet,0.5492277992277992,0.2692045202574249,-0.2752599721708086,1,10,-7
4,rf,0.5608108108108109,0.2839238985250959,-0.6402212424607822,1,10,-7
4,xgb,0.5260617760617761,0.2792309518329968,-0.36604876059926994,1,10,-7
5,glmnet,0.5514403292181069,0.26746456206869973,-0.2984275604895633,1,10,-7
5,rf,0.5185185185185185,0.25713575711096803,0.018212965111875968,1,10,-7
