Threshold,Model,Delta,AUC_median,AUC_IQR,Brier_median,Brier_IQR,Slope_median,Slope_IQR
-10,glmnet,5,0.6392857142857142,0.11945522192232716,0.16836065022240965,0.04050773747445796,0.9007276125228509,1.2528642178136518
-10,rf,5,0.6138888888888889,0.12731452958855694,0.17229290777993053,0.04483004089073078,0.5952440689293296,0.5781877922480066
-10,xgb,5,0.6225490196078431,0.1468672451128592,0.16781050301159628,0.047646262570779085,0.534818340251476,0.4845287629746414
-7,glmnet,5,0.6157697121401752,0.12124331812320055,0.19457587874669058,0.04077595276543683,0.7454438927985578,0.9699019298147673
-7,rf,5,0.6223776223776224,0.12736388321659387,0.2018587276365085,0.040624767276564444,0.5332384781592057,0.6987500778255139
-7,xgb,5,0.6269005847953216,0.1226988420384647,0.20560879314101366,0.04613933885940777,0.46937535003826714,0.4911345429128601
-5,glmnet,5,0.6428571428571429,0.1190707082387239,0.21373345874261737,0.030939250049183104,0.7744593672381661,0.6152181095866909
-5,rf,5,0.6216216216216216,0.1251917998583394,0.21579523476135415,0.03461436905302487,0.6703394085445705,0.6550641608590675
-5,xgb,5,0.6151162790697674,0.11596921594084009,0.21709280207844966,0.03896515882102333,0.47607088342062154,0.5246621782554932
0,glmnet,5,0.6588235294117647,0.0980815233165635,0.2263549367121257,0.022127774511384174,0.8420303307293536,0.6690628397209388
0,rf,5,0.6212624584717608,0.0984036612896908,0.23791009946683445,0.021931892073330184,0.645011606479804,0.5286317409915413
0,xgb,5,0.6488095238095238,0.09433395410107137,0.23161786057305067,0.026950821333157127,0.6126564864613102,0.4015306715669842
