Threshold,Model,Delta,AUC_median,AUC_IQR,Brier_median,Brier_IQR,Slope_median,Slope_IQR
-10,glmnet,0,0.6644736842105263,0.13170069771092785,0.1419872899240217,0.042691612584063454,1.0934318121075666,1.022538078872263
-10,rf,0,0.6426282051282052,0.12699064552005734,0.1486934331747263,0.046298526362300085,0.5939336902848693,0.6053331094503946
-10,xgb,0,0.6410526315789474,0.13503247276832187,0.14355485087241718,0.050886615559247256,0.6278172836890605,0.5246382719760058
-7,glmnet,0,0.6507692307692308,0.1306590814969748,0.15888318570123366,0.03864449515032481,0.8561742758364445,0.7584776940952557
-7,rf,0,0.6037037037037037,0.1552627672751512,0.16304562139233755,0.04187565337145005,0.5799777249413636,0.6072515824777509
-7,xgb,0,0.6274509803921569,0.1707975002866644,0.16370017725468938,0.0491514480731029,0.49581402458639956,0.6571519467694368
-5,glmnet,0,0.6527777777777778,0.13944674373245802,0.17512947345429633,0.03738960340979863,0.9312882854283917,0.6959781709869942
-5,rf,0,0.6486111111111111,0.15576971266113948,0.18204298480883008,0.038901091930613335,0.7106133881743721,0.817830553962871
-5,xgb,0,0.628968253968254,0.17203697000571994,0.18511101130780264,0.04128879349541231,0.5072661415871265,0.7449161284714026
0,glmnet,0,0.6697154471544715,0.08227893071643066,0.2206067868770472,0.023477717933172215,0.881639134038692,0.5191968883612486
0,rf,0,0.6447916666666667,0.09719579792169819,0.22690260046004343,0.027329220687829392,0.7277846629728687,0.5015025150368704
0,xgb,0,0.6518218623481782,0.08937921419254957,0.2281055147400348,0.028523114882239436,0.619269022371117,0.3799376151903395
