Threshold,Model,Delta,AUC_median,AUC_IQR,Brier_median,Brier_IQR,Slope_median,Slope_IQR
-10,glmnet,7,0.6259259259259259,0.11566687059018732,0.18361460290508816,0.03529949443490116,0.9534881071389012,1.1276539713074236
-10,rf,7,0.6190476190476191,0.1636444160997732,0.19052374052675666,0.036077764401270473,0.5620457440164529,0.8175963232524501
-10,xgb,7,0.6137820512820513,0.14309688141978505,0.19164520933870216,0.03629687590510783,0.4267449059046795,0.5603263251798147
-7,glmnet,7,0.6323366555924695,0.1196598716619135,0.2082465818556551,0.02956736254761433,0.8210501162539541,0.8712412076063332
-7,rf,7,0.6167800453514739,0.11714130748024854,0.21494620432047876,0.0327469414075261,0.6188060828549222,0.5301568053006488
-7,xgb,7,0.6093567251461989,0.1045867497571672,0.2213330265287096,0.03593549670221105,0.4662770352615007,0.4289621610648674
-5,glmnet,7,0.6345766129032258,0.08435319118563134,0.2192740224969019,0.02664698073029112,0.7480849313092339,0.521301424523211
-5,rf,7,0.6139112903225806,0.09899608476128252,0.2229888284092783,0.033121712182391544,0.6121999446939623,0.5370158379956348
-5,xgb,7,0.62109375,0.07077648961812255,0.22273810307408165,0.03708528765741104,0.5320209899531245,0.3746051058423826
0,glmnet,7,0.6585858585858586,0.09812162655965717,0.22923250840423512,0.027510517741972496,0.8550645415982727,0.7942191236858956
0,rf,7,0.6158357771260997,0.1282702036780622,0.2374646625658245,0.033675739369866925,0.6435228785838356,0.6550145998333812
0,xgb,7,0.6388888888888888,0.1250819717841607,0.23976498942796545,0.036840331573853524,0.5624183046366075,0.4641713448397159
