"","Overall","A","F","D","p","test"
"n","  352","  192","  102","   58","",""
"age (mean (SD))","65.28 (9.94)","64.80 (10.32)","63.97 (9.25)","69.16 (8.99)"," 0.004",""
"sex = m (%)","  196 (55.7) ","  114 (59.4) ","   54 (52.9) ","   28 (48.3) "," 0.264",""
"ecogps (mean (SD))"," 0.94 (0.62)"," 0.85 (0.60)"," 0.90 (0.57)"," 1.31 (0.65)","<0.001",""
"fact_bl (mean (SD))","73.79 (16.39)","76.33 (15.58)","73.25 (16.40)","66.31 (16.89)","<0.001",""
"hads_pt_anx_bl (mean (SD))"," 7.22 (3.54)"," 6.80 (3.22)"," 7.91 (3.84)"," 7.40 (3.86)"," 0.033",""
"hads_pt_dep_bl (mean (SD))"," 5.62 (4.23)"," 4.85 (3.65)"," 5.80 (4.63)"," 7.86 (4.49)","<0.001",""
"tumrtyp (%)","  ","  ","   ","   "," 0.334",""
"   Esophageal/GEJ/Gastric","   28 ( 8.0) ","   15 ( 7.8) ","   10 ( 9.8) ","    3 ( 5.2) ","",""
"   Hepatic/Biliary/Pancreatic/Unknown primary","  111 (31.5) ","   53 (27.6) ","   35 (34.3) ","   23 (39.7) ","",""
"   Lung","  213 (60.5) ","  124 (64.6) ","   57 (55.9) ","   32 (55.2) ","",""
"arm = 2 (%)","  183 (52.0) ","  100 (52.1) ","   51 (50.0) ","   32 (55.2) "," 0.820",""
"edu_cat (%)","  ","  ","   ","   "," 0.096",""
"   College+","  177 (52.2) ","  110 (58.8) ","   41 (42.7) ","   26 (46.4) ","",""
"   High school","  128 (37.8) ","   62 (33.2) ","   42 (43.8) ","   24 (42.9) ","",""
"   Low","   34 (10.0) ","   15 ( 8.0) ","   13 (13.5) ","    6 (10.7) ","",""
"race_cat (%)","  ","  ","   ","   "," 0.972",""
"   Asian","   14 ( 4.2) ","    8 ( 4.3) ","    4 ( 4.4) ","    2 ( 3.5) ","",""
"   Black","   42 (12.5) ","   22 (11.7) ","   14 (15.4) ","    6 (10.5) ","",""
"   Minority","    6 ( 1.8) ","    3 ( 1.6) ","    2 ( 2.2) ","    1 ( 1.8) ","",""
"   White","  274 (81.5) ","  155 (82.4) ","   71 (78.0) ","   48 (84.2) ","",""
"marital_cat = Not married (%)","  130 (37.7) ","   65 (34.6) ","   41 (41.0) ","   24 (42.1) "," 0.424",""
"n12 (mean (SD))"," 1.81 (2.38)"," 1.64 (1.91)"," 1.79 (2.81)"," 2.41 (2.85)"," 0.092",""
"cgpart = Yes (%)","  248 (70.5) ","  142 (74.0) ","   65 (63.7) ","   41 (70.7) "," 0.187",""
